id,Year,CrimeType,AssaultType,Sex,Count
1,2019,Assault,Assault on a Peace Officer,Female,4
2,2019,Assault,Resisting Arrest,Female,2
3,2023,Assault,Other,Unknown,7
4,2023,Assault,Other,Female,490
5,2019,Other,N/A,Male,311
6,2015,Other,N/A,Unknown,1
7,2023,Assault,Assault on a Peace Officer,Unknown,7
8,2017,Sexual Violation,N/A,Male,6
9,2016,Assault,Resisting Arrest,Male,24
10,2015,Other,N/A,Male,90
11,2021,Assault,Resisting Arrest,Female,10
12,2017,Assault,Resisting Arrest,Female,7
13,2016,Other,N/A,Female,471
14,2014,Robbery,N/A,Male,422
15,2017,Assault,Assault on a Peace Officer,Unknown,2
16,2014,Sexual Violation,N/A,Female,23
17,2019,Robbery,N/A,Unknown,5
18,2019,Assault,Assault on a Peace Officer,Male,37
19,2021,Assault,Assaulting a Peace Officer with a Weapon,Female,1
20,2022,Assault,Assaulting a Peace Officer with a Weapon,Male,8
21,2016,Assault,Other,Male,519
22,2018,Other,N/A,Male,482
23,2018,Assault,Other,Female,2166
24,2015,Other,N/A,Female,858
25,2014,Assault,Other,Female,94
26,2023,Assault,Assault on a Peace Officer,Male,17
27,2023,Sexual Violation,N/A,Female,597
28,2016,Assault,Other,Unknown,1
29,2020,Sexual Violation,N/A,Male,58
30,2023,Assault,Other,Male,435
31,2014,Assault,Resisting Arrest,Male,1
32,2019,Assault,Other,Male,713
33,2019,Robbery,N/A,Male,177
34,2018,Sexual Violation,N/A,Male,76
35,2017,Other,N/A,Female,134
36,2016,Assault,Resisting Arrest,Male,67
37,2016,Sexual Violation,N/A,Female,207
38,2017,Robbery,N/A,Female,215
39,2023,Robbery,N/A,Female,104
40,2015,Robbery,N/A,Female,108
41,2018,Assault,Assault on a Peace Officer,Female,7
42,2022,Other,N/A,Female,39
43,2017,Assault,Resisting Arrest,Female,10
44,2023,Sexual Violation,N/A,Female,63
45,2016,Sexual Violation,N/A,Male,86
46,2015,Robbery,N/A,Female,8
47,2021,Assault,Assault on a Peace Officer,Male,31
48,2018,Assault,Resisting Arrest,Female,13
49,2021,Assault,Other,Unknown,2
50,2021,Sexual Violation,N/A,Male,65
51,2018,Assault,Assault on a Peace Officer,Male,46
52,2022,Assault,Resisting Arrest,Male,12
53,2022,Assault,Assault on a Peace Officer,Female,24
54,2022,Sexual Violation,N/A,Male,61
55,2017,Sexual Violation,N/A,Male,32
56,2017,Robbery,N/A,Male,19
57,2017,Assault,Assault on a Peace Officer,Female,91
58,2018,Sexual Violation,N/A,Unknown,5
59,2023,Other,N/A,Unknown,1
60,2015,Assault,Assault on a Peace Officer,Female,4
61,2022,Assault,Assault on a Peace Officer,Unknown,7
62,2020,Other,N/A,Unknown,1
63,2015,Assault,Resisting Arrest,Male,31
64,2018,Assault,Other,Unknown,1
65,2023,Assault,Other,Male,1253
66,2018,Assault,Resisting Arrest,Female,2
67,2021,Robbery,N/A,Male,299
68,2018,Sexual Violation,N/A,Male,33
69,2023,Robbery,N/A,Male,83
70,2018,Assault,Assault on a Peace Officer,Male,53
71,2020,Assault,Other,Male,1060
72,2019,Robbery,N/A,Male,12
73,2022,Sexual Violation,N/A,Female,75
74,2014,Assault,Other,Female,1276
75,2017,Sexual Violation,N/A,Female,31
76,2020,Other,N/A,Female,51
77,2018,Assault,Other,Male,1972
78,2015,Sexual Violation,N/A,Female,363
79,2018,Assault,Resisting Arrest,Female,8
80,2018,Assault,Other,Male,592
81,2019,Robbery,N/A,Male,85
82,2023,Assault,Resisting Arrest,Male,13
83,2020,Robbery,N/A,Female,49
84,2014,Assault,Assault on a Peace Officer,Female,1
85,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,3
